data_source_name,normalized_data_source_name,family,source,sourcetype,mitre_components,supported_ta_names,supported_ta_versions,supported_ta_urls,output_fields,source_file
ASL AWS CloudTrail,asl aws cloudtrail,ASL,aws_asl,aws:asl,Cloud Service Metadata; Cloud Service Modification; Cloud Storage Access; Instance Creation; Instance Deletion; Instance Start; Instance Stop; Instance Modification; Cloud Storage Creation; Cloud Storage Deletion; Cloud Service Enumeration; Cloud Storage Enumeration,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/asl_aws_cloudtrail.yml
AWS Cloudfront,aws cloudfront,AWS,aws,aws:cloudfront:accesslogs,Network Traffic Content; Network Traffic Flow; Response Metadata; Response Content; Logon Session Metadata; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,_time; action; app; bytes; bytes_in; bytes_out; c_ip; c_port; cached; category; client_ip; cs_bytes; cs_cookie; cs_host; cs_method; cs_protocol; cs_protocol_version; cs_referer; cs_uri_query; cs_uri_stem; cs_user_agent; date; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; duration; edge_location_name; eventtype; fle_encrypted_fields; fle_status; host; http_content_type; http_method; http_user_agent; http_user_agent_length; index; linecount; punct; response_time; sc_bytes; sc_content_len; sc_content_type; sc_range_end; sc_range_start; sc_status; source; sourcetype; splunk_server; src; src_ip; src_port; ssl_cipher; ssl_protocol; status; tag; tag::eventtype; time; time_taken; time_to_first_byte; timeendpos; timestartpos; uri_path; url; url_domain; url_length; vendor_product; x_edge_detail_result_type; x_edge_location; x_edge_request_id; x_edge_response_result_type; x_edge_result_type; x_forwarded_for; x_host_header,data_sources/aws_cloudfront.yml
AWS CloudTrail,aws cloudtrail,AWS,aws_cloudtrail,aws:cloudtrail,,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,,data_sources/aws_cloudtrail.yml
AWS CloudTrail AssumeRoleWithSAML,aws cloudtrail assumerolewithsaml,AWS,aws_cloudtrail,aws:cloudtrail,User Account Authentication; Logon Session Creation; User Account Metadata; Cloud Service Metadata; Instance Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_assumerolewithsaml.yml
AWS CloudTrail ConsoleLogin,aws cloudtrail consolelogin,AWS,aws_cloudtrail,aws:cloudtrail,User Account Authentication; Logon Session Creation; User Account Metadata; Logon Session Metadata; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_consolelogin.yml
AWS CloudTrail CopyObject,aws cloudtrail copyobject,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Storage Access; Cloud Storage Modification; Cloud Storage Metadata; Instance Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_copyobject.yml
AWS CloudTrail CreateAccessKey,aws cloudtrail createaccesskey,AWS,aws_cloudtrail,aws:cloudtrail,User Account Creation; User Account Metadata; Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createaccesskey.yml
AWS CloudTrail CreateKey,aws cloudtrail createkey,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Creation; Cloud Service Metadata; Instance Creation; Volume Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createkey.yml
AWS CloudTrail CreateLoginProfile,aws cloudtrail createloginprofile,AWS,aws_cloudtrail,aws:cloudtrail,User Account Creation; User Account Metadata; Logon Session Metadata; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createloginprofile.yml
AWS CloudTrail CreateNetworkAclEntry,aws cloudtrail createnetworkaclentry,AWS,aws_cloudtrail,aws:cloudtrail,Firewall Rule Modification; Network Connection Creation; Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createnetworkaclentry.yml
AWS CloudTrail CreatePolicyVersion,aws cloudtrail createpolicyversion,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; User Account Metadata; Group Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createpolicyversion.yml
AWS CloudTrail CreateSnapshot,aws cloudtrail createsnapshot,AWS,aws_cloudtrail,aws:cloudtrail,Snapshot Creation; Snapshot Metadata; Volume Metadata; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createsnapshot.yml
AWS CloudTrail CreateTask,aws cloudtrail createtask,AWS,aws_cloudtrail,aws:cloudtrail,Scheduled Job Creation; Scheduled Job Metadata; Cloud Service Metadata; Instance Creation,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createtask.yml
AWS CloudTrail CreateVirtualMFADevice,aws cloudtrail createvirtualmfadevice,AWS,aws_cloudtrail,aws:cloudtrail,User Account Creation; User Account Metadata; Cloud Service Creation; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_createvirtualmfadevice.yml
AWS CloudTrail DeactivateMFADevice,aws cloudtrail deactivatemfadevice,AWS,aws_cloudtrail,aws:cloudtrail,User Account Modification; User Account Metadata; Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deactivatemfadevice.yml
AWS CloudTrail DeleteAccountPasswordPolicy,aws cloudtrail deleteaccountpasswordpolicy,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleteaccountpasswordpolicy.yml
AWS CloudTrail DeleteAlarms,aws cloudtrail deletealarms,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Application Log Content; Host Status,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletealarms.yml
AWS CloudTrail DeleteDetector,aws cloudtrail deletedetector,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Host Status; Application Log Content,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletedetector.yml
AWS CloudTrail DeleteGroup,aws cloudtrail deletegroup,AWS,aws_cloudtrail,aws:cloudtrail,Group Modification; Group Metadata; User Account Metadata; Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletegroup.yml
AWS CloudTrail DeleteGuardrail,aws cloudtrail deleteguardrail,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleteguardrail.yml
AWS CloudTrail DeleteIPSet,aws cloudtrail deleteipset,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Firewall Rule Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleteipset.yml
AWS CloudTrail DeleteKnowledgeBase,aws cloudtrail deleteknowledgebase,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleteknowledgebase.yml
AWS CloudTrail DeleteLoggingConfiguration,aws cloudtrail deleteloggingconfiguration,AWS,aws_cloudtrail,aws:cloudtrail,,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,_time,data_sources/aws_cloudtrail_deleteloggingconfiguration.yml
AWS CloudTrail DeleteLogGroup,aws cloudtrail deleteloggroup,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Application Log Content; Host Status,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleteloggroup.yml
AWS CloudTrail DeleteLogStream,aws cloudtrail deletelogstream,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Application Log Content; Host Status,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletelogstream.yml
AWS CloudTrail DeleteModelInvocationLoggingConfiguration,aws cloudtrail deletemodelinvocationloggingconfiguration,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletemodelinvocationloggingconfiguration.yml
AWS CloudTrail DeleteNetworkAclEntry,aws cloudtrail deletenetworkaclentry,AWS,aws_cloudtrail,aws:cloudtrail,Firewall Rule Modification; Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletenetworkaclentry.yml
AWS CloudTrail DeletePolicy,aws cloudtrail deletepolicy,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deletepolicy.yml
AWS CloudTrail DeleteRule,aws cloudtrail deleterule,AWS,aws_cloudtrail,aws:cloudtrail,Cloud Service Modification; Cloud Service Metadata; Scheduled Job Modification; Application Log Content,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,dest; user; user_agent; src; vendor_account; vendor_region; vendor_product,data_sources/aws_cloudtrail_deleterule.yml
AWS CloudTrail DeleteRuleGroup,aws cloudtrail deleterulegroup,AWS,aws_cloudtrail,aws:cloudtrail,,Splunk Add-on for AWS,8.1.0,https://splunkbase.splunk.com/app/1876,_time,data_sources/aws_cloudtrail_deleterulegroup.yml
