detection_id,detection_name,normalized_detection_name,catalog_status,detection_type,family,security_domain,analytic_story,mitre_attack_ids,technique_count,data_source_names,required_data_source_count,products,search,how_to_implement,source_file
105e4a69-ec55-49fc-be1f-902467435ea8,Cisco AI Defense Security Alerts by Application Name,cisco ai defense security alerts by application name,production,Anomaly,Cisco,endpoint,Critical Alerts,,0,Cisco AI Defense Alerts,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_ai_defense` | rename genai_application.application_name as application_name | rename connection.connection_name as connection_name ```Aggregating data by model name, connection name, application name, application ID, and user ID``` | stats count values(user_id) as user_id values(event_message_type) as event_message_type values(event_action) as event_action values(policy.policy_name) as policy_name values(event_policy_guardrail_assocs{}.policy_guardrail_assoc.guardrail_avail_entity.guardrail_entity_name) as guardrail_entity_name values(event_policy_guardrail_assocs{}.policy_guardrail_assoc.guardrail_avail_ruleset.guardrail_ruleset_type) as guardrail_ruleset_type by model.model_name connection_name application_name application_id ```Evaluating severity based on policy name and guardrail ruleset type``` | eval severity=case( policy_name IN (""AI Runtime Latency Testing - Prompt Injection""), ""critical"", policy_name IN (""AI Runtime Latency Testing - Code Detection""), ""high"", guardrail_ruleset_type IN (""Toxicity""), ""medium"", true(), ""low"" ) ```Calculating risk score based on severity level``` | eval risk_score=case( severity=""critical"", 100, severity=""high"", 75, severity=""medium"", 50, severity=""low"", 25 ) | table model.model_name, user_id, event_action, application_id, application_name, severity, risk_score, policy_name, connection_name, guardrail_ruleset_type, guardrail_entity_name | `cisco_ai_defense_security_alerts_by_application_name_filter`","To enable this detection, you need to ingest alerts from the Cisco AI Defense product. This can be done by using this app from splunkbase - Cisco Security Cloud and ingest alerts into the cisco:ai:defense sourcetype.",detections/application/cisco_ai_defense_security_alerts_by_application_name.yml
8f2c4e9a-5d3b-4c7e-9a1f-6e8d5b2c3a9f,Cisco ASA - AAA Policy Tampering,cisco asa aaa policy tampering,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity,T1556.004,1,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command IN ( ""aaa authentication*"", ""aaa authorization*"", ""aaa local authentication*"", ""aaa-server*"", ""no aaa*"" ) | fillnull | stats count earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___aaa_policy_tampering_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adds message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___aaa_policy_tampering.yml
4b4f8fdd-1f9e-45d8-9b0f-1f64c0b297a4,Cisco ASA - Core Syslog Message Volume Drop,cisco asa core syslog message volume drop,production,Hunting,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity; ArcaneDoor,T1562,1,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (302013, 302014, 609002, 710005) | eval msg_desc=case( message_id=""302013"",""Built inbound TCP connection"", message_id=""302014"",""Teardown TCP connection"", message_id=""609002"",""Teardown local-host management"", message_id=""710005"",""TCP request discarded"" ) | bin _time span=15m | stats count values(msg_desc) as message_description values(dest) as dest by _time message_id | xyseries _time message_id count | `cisco_asa___core_syslog_message_volume_drop_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward both debug and informational level syslog messages before they are sent to Splunk. This analytic is designed to be used with comprehensive logging enabled, as it relies on the presence of specific message IDs. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html#toc-hId--1451069880. The search produces a time-series suitable for dashboards to visualize drops across message IDs 302013, 302014, 609002, and 710005. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___core_syslog_message_volume_drop.yml
4d7e8f3a-9c2b-4e6f-8a1d-5b9c7e2f4a8c,Cisco ASA - Device File Copy Activity,cisco asa device file copy activity,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity; ArcaneDoor,T1005; T1530,2,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command = ""copy *"" command IN ( ""*running-config*"", ""*startup-config*"", ""*/pcap capture:*"", ""* disk0:*"", ""* flash:*"", ""* system:*"" ) | fillnull | stats earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___device_file_copy_activity_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adds message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___device_file_copy_activity.yml
8a9e5f2b-6d4c-4e7f-9b3a-1c8d7f5e2a9b,Cisco ASA - Device File Copy to Remote Location,cisco asa device file copy to remote location,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity; ArcaneDoor,T1005; T1041; T1048.003,3,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command = ""copy *"" command IN ( ""*running-config*"", ""*startup-config*"", ""*/pcap capture:*"", ""* disk0:*"", ""* flash:*"", ""* system:*"" ) command IN ( ""*ftp:*"", ""*http:*"", ""*https:*"", ""*smb:*"", ""*scp:*"" ) | eval remote_protocol = mvappend( if(match(command, ""tftp:""), ""TFTP"", null()), if(match(command, ""ftp:""), ""FTP"", null()), if(match(command, ""http:""), ""HTTP"", null()), if(match(command, ""https:""), ""HTTPS"", null()), if(match(command, ""smb:""), ""SMB"", null()), if(match(command, ""scp:""), ""SCP"", null()) ) | fillnull | stats earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(remote_protocol) as remote_protocol values(src_ip) as src_ip values(dest) as dest values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___device_file_copy_to_remote_location_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message IDs 111008 and 111010. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and add message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___device_file_copy_to_remote_location.yml
7b4c9f3e-5a88-4b7b-9c4b-94d8e5d67201,Cisco ASA - Logging Disabled via CLI,cisco asa logging disabled via cli,production,TTP,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity,T1562,1,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command IN ( ""*no logging*"", ""*logging disable*"", ""*clear logging*"", ""*no logging host*"", ""*no logging trap*"" ) | stats earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___logging_disabled_via_cli_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adds message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___logging_disabled_via_cli.yml
b87b48a8-6d1a-4280-9cf1-16a950dbf901,Cisco ASA - Logging Filters Configuration Tampering,cisco asa logging filters configuration tampering,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity,T1562,1,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command = ""logging *"" command IN ( ""*asdm*"", ""*console*"", ""*history*"", ""*mail*"", ""*monitor*"", ""*trap*"" ) NOT command IN ( ""*notifications*"", ""*informational*"", ""*debugging*"", ""* 5*"", ""* 6*"", ""* 7*"" ) | fillnull | stats count earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___logging_filters_configuration_tampering_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adding the message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___logging_filters_configuration_tampering.yml
4e6c9d2a-8f3b-4c7e-9a5f-2d8b6e1c4a9f,Cisco ASA - Logging Message Suppression,cisco asa logging message suppression,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity; ArcaneDoor,T1562.002; T1070,2,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command = ""no logging message *"" | fillnull | stats count earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___logging_message_suppression_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adding the message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___logging_message_suppression.yml
9c8e4f2a-7d3b-4e5c-8a9f-1b6d4e8c3f5a,Cisco ASA - New Local User Account Created,cisco asa new local user account created,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity,T1136.001; T1078.003,2,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,`cisco_asa` message_id IN (502101) | fillnull | stats count earliest(_time) as firstTime latest(_time) as lastTime values(action) as action values(message_id) as message_id values(result) as result values(privilege_level) as privilege_level by host user | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___new_local_user_account_created_filter`,"This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 502101. If your logging level is set to 'Notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adds message ID 502101. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___new_local_user_account_created.yml
7e9c3f8a-4b2d-4c5e-9a1f-6d8e5b3c2a9f,Cisco ASA - Packet Capture Activity,cisco asa packet capture activity,production,Anomaly,Cisco,network,Suspicious Cisco Adaptive Security Appliance Activity; ArcaneDoor,T1040; T1557,2,Cisco ASA Logs,1,Splunk Enterprise; Splunk Enterprise Security; Splunk Cloud,"`cisco_asa` message_id IN (111008, 111010) command IN (""capture *"") | fillnull | stats count earliest(_time) as firstTime latest(_time) as lastTime values(user) as user values(action) as action values(message_id) as message_id values(command) as command values(src_ip) as src_ip values(process_name) as process_name by host | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `cisco_asa___packet_capture_activity_filter`","This search requires Cisco ASA syslog data to be ingested into Splunk via the Cisco Security Cloud TA. To ensure this detection works effectively, configure your ASA and FTD devices to generate and forward message ID 111008 and 111010. If your logging level is set to 'notifications' or higher, these messages should already be included, else we recommend setting an event list that keeps the severity level you are using and adding the message IDs 111008 and 111010. You can find specific instructions on how to set this up here : https://www.cisco.com/c/en/us/support/docs/security/pix-500-series-security-appliances/63884-config-asa-00.html. You can also change the severity level of the above message id's to the syslog level you have currently enabled using the logging message syslog_id level severity_level command in global configuration mode. For more information, see Change the Severity Level of a Syslog Message : https://www.cisco.com/c/en/us/td/docs/security/asa/asa922/configuration/general/asa-922-general-config/monitor-syslog.html#ID-2121-000006da",detections/application/cisco_asa___packet_capture_activity.yml
